instant_x,dteday,season_x,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,season_y,yr_y,mnth_y,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y,total_users,temp_celsius,humidity_percent,windspeed_kmh
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,22,12.299999999999999,39.0,23.9994
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,31,10.66,44.0,22.0028
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,9,9.84,44.0,19.999499999999998
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,8,9.02,47.0,11.0014
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,5,9.02,44.0,23.9994
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2,8.200000000000001,44.0,27.999299999999998
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1,6.5600000000000005,47.0,26.0027
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,3,6.5600000000000005,47.0,19.0012
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,30,5.74,50.0,26.0027
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,64,5.74,50.0,12.998000000000001
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,154,5.74,50.0,19.0012
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,88,6.5600000000000005,43.0,26.0027
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,44,7.38,43.0,16.997899999999998
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,51,8.200000000000001,40.0,22.0028
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,61,9.02,35.0,19.999499999999998
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,61,9.84,35.0,19.0012
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,77,10.66,30.0,19.0012
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,72,10.66,30.0,16.997899999999998
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,76,10.66,30.0,16.997899999999998
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,157,9.84,30.0,15.001299999999999
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,157,9.84,32.0,7.0015
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,110,8.200000000000001,47.0,0.0
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,52,8.200000000000001,47.0,7.0015
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,52,7.38,64.0,8.9981
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,20,5.74,69.0,8.9981
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,12,7.38,55.00000000000001,7.0015
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,5,6.5600000000000005,55.00000000000001,7.0015
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2,6.5600000000000005,59.0,7.0015
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1,5.74,63.0,8.9981
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2,5.74,63.0,6.0032
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,4,4.92,68.0,7.0015
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,36,4.92,74.0,7.0015
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,94,4.92,74.0,8.9981
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,179,5.74,69.0,11.0014
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,100,6.5600000000000005,64.0,15.001299999999999
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,42,6.5600000000000005,69.0,22.0028
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,57,9.02,51.0,19.999499999999998
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,78,9.02,51.0,11.0014
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,97,9.84,56.00000000000001,12.998000000000001
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,63,10.66,52.0,15.001299999999999
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,65,11.48,52.0,16.997899999999998
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,83,12.299999999999999,49.0,16.997899999999998
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,212,11.48,48.0,15.001299999999999
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,182,10.66,48.0,12.998000000000001
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,112,9.84,48.0,7.0015
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,54,9.84,48.0,7.0015
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,48,9.02,64.0,0.0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,35,9.02,64.0,6.0032
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,11,8.200000000000001,69.0,6.0032
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,6,8.200000000000001,64.0,0.0
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,6,6.5600000000000005,74.0,6.0032
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2,6.5600000000000005,74.0,6.0032
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2,9.84,48.0,15.001299999999999
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,3,9.02,47.0,11.0014
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,33,8.200000000000001,47.0,15.001299999999999
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,88,7.38,43.0,12.998000000000001
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,195,8.200000000000001,40.0,19.999499999999998
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,115,9.02,37.0,22.0028
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,57,9.02,37.0,22.0028
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,46,10.66,33.0,22.0028
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,79,10.66,33.0,22.0028
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,71,11.48,30.0,19.999499999999998
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,62,12.299999999999999,28.000000000000004,12.998000000000001
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,62,12.299999999999999,28.000000000000004,12.998000000000001
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,89,12.299999999999999,28.000000000000004,6.0032
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,190,9.84,38.0,12.998000000000001
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,169,9.84,38.0,8.9981
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,132,9.84,38.0,7.0015
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,89,9.02,47.0,11.0014
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,43,8.200000000000001,51.0,12.998000000000001
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,42,7.38,55.00000000000001,8.9981
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,19,8.200000000000001,47.0,0.0
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,11,7.38,55.00000000000001,0.0
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,4,6.5600000000000005,64.0,0.0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2,6.5600000000000005,64.0,0.0
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1,6.5600000000000005,64.0,6.0032
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,4,5.74,69.0,6.0032
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,36,5.74,63.0,7.0015
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,95,6.5600000000000005,59.0,0.0
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,219,6.5600000000000005,59.0,0.0
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,122,7.38,51.0,0.0
